"Column Name","Label"
"S2302_C01_016M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Families!!1 worker in the past 12 months"
"S2302_C01_017E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Families!!2 or more workers in the past 12 months"
"S2302_C01_017M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Families!!2 or more workers in the past 12 months"
"S2302_C01_018E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families"
"S2302_C01_018M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families"
"S2302_C01_019E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:"
"S2302_C01_019M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:"
"S2302_C01_020E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C01_020M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C01_021E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C01_021M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C01_022E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C01_022M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C01_023E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:"
"S2302_C01_023M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:"
"S2302_C01_024E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C01_024M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C01_025E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C01_025M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C01_026E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C01_026M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C01_027E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:"
"S2302_C01_027M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:"
"S2302_C01_028E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C01_028M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C01_029E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C01_029M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C01_030E","Estimate!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C01_030M","Margin of Error!!Total!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C02_001E","Estimate!!Percent!!Families"
"S2302_C02_001M","Margin of Error!!Percent!!Families"
"S2302_C02_002E","Estimate!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families"
"S2302_C02_002M","Margin of Error!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families"
"S2302_C02_003E","Estimate!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Both husband and wife in labor force"
"S2302_C02_003M","Margin of Error!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Both husband and wife in labor force"
"S2302_C02_004E","Estimate!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Husband in labor force, wife not in labor force"
"S2302_C02_004M","Margin of Error!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Husband in labor force, wife not in labor force"
"S2302_C02_005E","Estimate!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Wife in labor force, husband not in labor force"
"S2302_C02_005M","Margin of Error!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Wife in labor force, husband not in labor force"
"S2302_C02_006E","Estimate!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Both husband and wife not in labor force"
"S2302_C02_006M","Margin of Error!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Both husband and wife not in labor force"
"S2302_C02_007E","Estimate!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families"
"S2302_C02_007M","Margin of Error!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families"
"S2302_C02_008E","Estimate!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present"
"S2302_C02_008M","Margin of Error!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present"
"S2302_C02_009E","Estimate!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present!!In labor force"
"S2302_C02_009M","Margin of Error!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present!!In labor force"
"S2302_C02_010E","Estimate!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present!!Not in labor force"
"S2302_C02_010M","Margin of Error!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present!!Not in labor force"
"S2302_C02_011E","Estimate!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present"
"S2302_C02_011M","Margin of Error!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present"
"S2302_C02_012E","Estimate!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present!!In labor force"
"S2302_C02_012M","Margin of Error!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present!!In labor force"
"S2302_C02_013E","Estimate!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present!!Not in labor force"
"S2302_C02_013M","Margin of Error!!Percent!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present!!Not in labor force"
"S2302_C02_014E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Families"
"S2302_C02_014M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Families"
"S2302_C02_015E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Families!!No workers in the past 12 months"
"S2302_C02_015M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Families!!No workers in the past 12 months"
"S2302_C02_016E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Families!!1 worker in the past 12 months"
"S2302_C02_016M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Families!!1 worker in the past 12 months"
"S2302_C02_017E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Families!!2 or more workers in the past 12 months"
"S2302_C02_017M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Families!!2 or more workers in the past 12 months"
"S2302_C02_018E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families"
"S2302_C02_018M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families"
"S2302_C02_019E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:"
"S2302_C02_019M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:"
"S2302_C02_020E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C02_020M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C02_021E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C02_021M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C02_022E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C02_022M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C02_023E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:"
"S2302_C02_023M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:"
"S2302_C02_024E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C02_024M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C02_025E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C02_025M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C02_026E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C02_026M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C02_027E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:"
"S2302_C02_027M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:"
"S2302_C02_028E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C02_028M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C02_029E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C02_029M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C02_030E","Estimate!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C02_030M","Margin of Error!!Percent!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C03_001E","Estimate!!Families with own children under 18 years!!Families"
"S2302_C03_001M","Margin of Error!!Families with own children under 18 years!!Families"
"S2302_C03_002E","Estimate!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families"
"S2302_C03_002M","Margin of Error!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families"
"S2302_C03_003E","Estimate!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Both husband and wife in labor force"
"S2302_C03_003M","Margin of Error!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Both husband and wife in labor force"
"S2302_C03_004E","Estimate!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Husband in labor force, wife not in labor force"
"S2302_C03_004M","Margin of Error!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Husband in labor force, wife not in labor force"
"S2302_C03_005E","Estimate!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Wife in labor force, husband not in labor force"
"S2302_C03_005M","Margin of Error!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Wife in labor force, husband not in labor force"
"S2302_C03_006E","Estimate!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Both husband and wife not in labor force"
"S2302_C03_006M","Margin of Error!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families!!Both husband and wife not in labor force"
"S2302_C03_007E","Estimate!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families"
"S2302_C03_007M","Margin of Error!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families"
"S2302_C03_008E","Estimate!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present"
"S2302_C03_008M","Margin of Error!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present"
"S2302_C03_009E","Estimate!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present!!In labor force"
"S2302_C03_009M","Margin of Error!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present!!In labor force"
"S2302_C03_010E","Estimate!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present!!Not in labor force"
"S2302_C03_010M","Margin of Error!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Female householder, no spouse present!!Not in labor force"
"S2302_C03_011E","Estimate!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present"
"S2302_C03_011M","Margin of Error!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present"
"S2302_C03_012E","Estimate!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present!!In labor force"
"S2302_C03_012M","Margin of Error!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present!!In labor force"
"S2302_C03_013E","Estimate!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present!!Not in labor force"
"S2302_C03_013M","Margin of Error!!Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Other families!!Male householder, no spouse present!!Not in labor force"
"S2302_C03_014E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Families"
"S2302_C03_014M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Families"
"S2302_C03_015E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Families!!No workers in the past 12 months"
"S2302_C03_015M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Families!!No workers in the past 12 months"
"S2302_C03_016E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Families!!1 worker in the past 12 months"
"S2302_C03_016M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Families!!1 worker in the past 12 months"
"S2302_C03_017E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Families!!2 or more workers in the past 12 months"
"S2302_C03_017M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Families!!2 or more workers in the past 12 months"
"S2302_C03_018E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families"
"S2302_C03_018M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families"
"S2302_C03_019E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:"
"S2302_C03_019M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:"
"S2302_C03_020E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C03_020M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C03_021E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C03_021M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C03_022E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C03_022M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked full-time, year-round in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C03_023E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:"
"S2302_C03_023M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:"
"S2302_C03_024E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C03_024M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C03_025E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C03_025M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C03_026E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C03_026M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder worked less than full-time, year-round in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C03_027E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:"
"S2302_C03_027M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:"
"S2302_C03_028E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C03_028M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse worked full-time, year-round in the past 12 months"
"S2302_C03_029E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C03_029M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse worked less than full-time, year-round in the past 12 months"
"S2302_C03_030E","Estimate!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C03_030M","Margin of Error!!Families with own children under 18 years!!WORK STATUS CHARACTERISTICS!!Married-couple families!!Householder did not work in the past 12 months:!!Spouse did not work in the past 12 months"
"S2302_C04_001E","Estimate!!Percent Families with own children under 18 years!!Families"
"S2302_C04_001M","Margin of Error!!Percent Families with own children under 18 years!!Families"
"S2302_C04_002E","Estimate!!Percent Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families"
"S2302_C04_002M","Margin of Error!!Percent Families with own children under 18 years!!Families!!EMPLOYMENT STATUS CHARACTERISTICS!!Opposite-sex married-couple families"
