sedaadmin,seda_district,stateabb,gys_mn_2019_ol,gys_mn_2022_ol,gys_mn_2023_ol,County Names,month,share_inperson,share_hybrid,share_virtual,membership,total_revenue,total_fed_revenue,County-Level Index,Family Unity,Community Health,Institutional Health,Collective Efficacy,married_household,married_household_children,male_married,female_married,male_never_married,female_never_married,male_divorced,female_divorced,birth_last_year_unmarried,over_25_highschool_degree,over_25_associates_degree,over_25_bachelors_degree,over_25_graduate_degree,native_born,only_english,non_english,with_computer,with_internet,unemployment,median_income,mean_income,with_health_insurance,poverty,owner_occupied_value,occupancy,SMOC,rent,mortgage_percentage,population,sex_ratio,hispanic_percent,white_percent,black_percent,asian_percent,no_workers,one_worker,employment_past_year
500028,Star City School District,AR,-2.250821667457403,-2.32527512198008,-2.016745623892696,Cleveland County,2021m1,1,0,0,NA,NA,NA,-0.1599204,-0.9370095,-0.2283826,-0.351168,1.008055,53.0,17.3,53.5,47.7,27.6,21.9,13.7,13.8,58,43.8,5.1,10.1,5.8,99.8,99.2,0.8,87.9,72.8,0.8,72857,83172,96.5,8.8,109200,76.1,396,673,38,7548,86.2,7548,84,13.1,0,25.7,29.7,53.4
500029,Gosnell School District,AR,-0.3421786582974766,-0.1968886512205836,-0.0744841720888187,Mississippi County,2021m1,1,0,0,NA,NA,NA,-2.599408,-2.126075,-0.8120308,-1.013297,-3.213248,41.3,13.3,46.0,40.1,34.5,33.7,12.7,12.9,610,39.9,7.4,9.2,5.6,98.0,96.1,3.9,87.9,81.2,9.8,62701,84908,91.7,16.5,110000,78.2,380,750,49.1,40361,96.7,40361,58.3,34.8,0.4,17.3,33.6,57.4
500032,Bearden School District,AR,-1.355282367876675,-2.420163519766978,-2.457938699662321,Calhoun County,2021m1,1,0,0,NA,NA,NA,-0.8109913,-1.350134,-0.3059568,-0.9774544,0.3449581,58.3,23.7,44.3,45.4,37.4,25.7,10.6,18.4,55,45.4,8.8,7.7,4.9,98.3,95.5,4.5,91.0,77.0,9.1,65800,78119,91.9,8.5,82700,60.5,436,808,31.4,4773,102.8,4773,74.2,20.8,0.2,22.8,32.7,42.2
500042,Hamburg School District,AR,-0.8925256002050093,-1.419341296549433,-1.50988120841411,Ashley County,2021m1,0,1,0,NA,NA,NA,-0.0027922,0.7883577,-0.1053458,-0.6147708,-0.2096882,49.6,14.3,52.3,46.3,25.1,23.0,14.1,13.9,201,48.4,6.1,8.2,3.3,97.7,95.3,4.7,83.8,74.6,6,60030,80110,91.6,18.3,86600,76.3,382,610,36.9,19018,89.6,19018,70.8,24.8,0.1,30.4,29.9,42.2
500043,Mountain Home School District,AR,-0.1151594762804553,-0.3355578085903081,-0.3724274267694172,Baxter County,2021m1,1,0,0,NA,NA,NA,0.13087,-0.0306586,-0.595076,0.2305395,0.6310606,49.5,12.7,58.9,52.9,19.9,15.0,14.7,13.7,346,35.2,11.7,12.5,5.6,97.8,96.9,3.1,91.0,81.7,5.1,59981,80462,93.5,8.1,155600,83.6,385,810,47.4,41801,95.6,41801,93.5,0.2,0.6,35.2,29.4,37.4
500044,Magnolia School District,AR,-1.294557144570799,-1.850925887533529,-1.745030214081482,Columbia County,2021m1,1,0,0,NA,NA,NA,-0.9812095,-0.4275512,-0.386581,-1.875887,-0.1286085,47.9,13.5,46.2,40.7,39.7,31.8,9.0,12.2,236,41.5,6.6,13.3,5.7,98.5,96.4,3.6,85.1,75.6,3.2,58889,80004,92.6,18.2,123200,70.8,393,690,43.4,22707,93.8,22707,61.1,35.6,0.5,22.9,36.9,52.2
500046,Manila School District,AR,0.1568464882941507,-1.226572904313131,-1.092187601656247,Mississippi County,2021m1,1,0,0,NA,NA,NA,-2.599408,-2.126075,-0.8120308,-1.013297,-3.213248,41.3,13.3,46.0,40.1,34.5,33.7,12.7,12.9,610,39.9,7.4,9.2,5.6,98.0,96.1,3.9,87.9,81.2,9.8,62701,84908,91.7,16.5,110000,78.2,380,750,49.1,40361,96.7,40361,58.3,34.8,0.4,17.3,33.6,57.4
500049,Dequeen School District,AR,0.4497348219835215,-0.2131019005498436,0.0833103986529409,Polk County,2021m1,1,0,0,NA,NA,NA,-0.2332692,0.0744107,-0.2920302,-0.47492,-0.0609563,53.6,16.7,55.6,55.8,24.9,17.4,13.5,10.6,350,36.1,7.4,11.2,5.1,96.4,94.4,5.6,89.1,76.6,9,60528,84810,90.5,14.2,120800,80,346,730,40,19384,96.3,19384,90.1,0.1,0.2,24.5,30.5,41
500051,Palestine-Wheatley School District,AR,-1.516275693569654,-1.99018660271875,-1.850994088681222,Monroe County,2021m1,0,1,0,NA,NA,NA,-1.307049,-2.88994,0.1364694,-0.6582704,-0.1224115,36.9,6.4,41.7,37.1,38.1,27.0,10.2,12.5,129,41.1,6.2,9.8,4.4,99.7,99.3,0.7,79.8,72.6,11,67631,74206,91.3,20.2,84600,73.1,377,543,33.6,6787,93.4,6787,53.9,43.5,0.3,19.9,45.5,46.7
500065,Lafayette County School District,AR,-3.510341972687224,-4.394459351232113,-3.911250650365227,Columbia County,2021m1,1,0,0,NA,NA,NA,-0.9812095,-0.4275512,-0.386581,-1.875887,-0.1286085,47.9,13.5,46.2,40.7,39.7,31.8,9.0,12.2,236,41.5,6.6,13.3,5.7,98.5,96.4,3.6,85.1,75.6,3.2,58889,80004,92.6,18.2,123200,70.8,393,690,43.4,22707,93.8,22707,61.1,35.6,0.5,22.9,36.9,52.2
500067,Cleveland County School District,AR,-0.5134550731361687,-0.3855639245535487,-0.3929852546164376,Bradley County,2021m1,1,0,0,NA,NA,NA,-1.125393,-1.779942,-0.0495821,-1.248482,-0.0361675,41.3,14.3,47.0,38.5,31.0,29.3,17.0,15.9,145,47.1,6.2,8.7,3.8,92.9,85.6,14.4,86.6,72.6,5.6,60497,73609,87.5,13.9,87900,70.2,356,636,33.1,10461,93.6,10461,60.9,26,0.1,25.4,36.1,44.6
500070,Cedar Ridge School District,AR,-1.837502793321138,-1.252861594184528,-0.4135369654378298,Independence County,2021m1,1,0,0,NA,NA,NA,-1.028193,-0.4416926,-0.4926413,-0.5900005,-1.391281,52.5,21.8,52.7,52.5,30.6,19.6,11.6,13.8,378,38.6,8.2,11.6,5.5,96.6,94.8,5.2,87.9,68.1,5.2,62620,84971,89.9,14.3,111300,86.4,382,774,53.2,37910,99.9,37910,86.7,1.9,0.7,17.2,32.3,51.4
500073,Ouachita River School District,AR,-1.177202688945123,-1.5101123845558,-1.307477086349483,Montgomery County,2021m1,1,0,0,NA,NA,NA,-0.032772,0.5686544,-0.4368777,-1.063815,0.6754736,56.6,14.1,57.7,57.9,22.0,10.4,15.6,17.9,44,35.0,8.4,11.8,4.6,97.6,96.3,3.7,86.8,75.5,7.3,56905,74829,88.3,13.1,126200,65.6,318,637,36.9,8555,104.9,8555,90.9,0.7,0.8,29.7,29.9,44.7
500076,Ozark Mountain School District,AR,-1.26387374510046,-1.573564863643607,-1.702707708103075,Marion County,2021m1,0.37637362,0.62362635,0,NA,NA,NA,-0.824374,-0.719102,-0.6544652,-0.5483884,-0.4420819,52.4,10.6,53.4,55.8,21.5,13.3,16.8,15.1,119,37.2,8.2,9.0,6.2,97.8,97.3,2.7,92.5,85.3,7,53983,68657,92.7,12.4,147100,75,340,749,38.6,16905,98.5,16905,94.6,0.5,0.7,34.4,25.8,34.6
500079,Two Rivers School District,AR,-0.6561664772410163,-2.376636192966885,-2.36490536530975,Conway County,2021m1,0.34379086,0.65620917,0,NA,NA,NA,-0.3450103,-0.3232775,-0.3774884,-0.393218,0.0464613,46.9,15.4,53.3,47.8,28.2,20.2,14.1,17.0,129,43.2,9.2,14.1,5.0,97.3,95.7,4.3,88.7,77.1,7.1,61839,79734,92.7,14.3,129600,87.2,384,698,43.9,20782,99.3,20782,83.5,11,0.4,18.6,35.4,44.9
500082,Lawrence County School District,AR,-1.00635495844882,-1.674547645597129,-1.292025519963029,Lawrence County,2021m1,1,0,0,NA,NA,NA,-0.0350114,0.4432442,-0.3253504,-0.8997362,0.5381031,48.8,16.6,49.7,50.1,32.0,19.9,13.6,16.6,227,37.5,7.1,8.7,4.2,98.8,98.1,1.9,89.1,80.1,6.7,57787,74411,91.2,12.9,84300,84.2,349,690,41.7,16258,100,16258,93.5,1.4,0.1,20.5,34.9,42.1
500405,Cossatot River School District,AR,-0.7771805818329884,-1.143497725688803,-0.5882730841078425,Howard County,2021m1,1,0,0,NA,NA,NA,-0.7490011,-1.412991,-0.2101975,-0.7950163,0.3139723,45.4,17.6,57.7,44.1,25.2,23.2,12.0,14.4,154,42.9,9.6,9.9,5.1,90.8,84.6,15.4,88.9,76.2,6.4,56071,75580,87.6,15.6,125300,84.7,379,732,38.2,12779,91.3,12779,64.4,21.7,0.8,17.3,35.6,49.2
500419,Jacksonville North Pulaski School District,AR,-2.883119781499693,-3.249662045585755,-3.558342686153744,Lonoke County,2021m1,1,0,0,NA,NA,NA,-0.3262919,0.8971852,-1.241739,-0.437698,-0.3325986,54.3,22.4,55.1,51.9,29.0,23.0,11.1,13.8,961,37.1,10.6,13.3,6.6,97.3,95.7,4.3,92.9,86.4,4.5,83730,99376,92.5,8.5,169600,91.2,419,944,64,74292,98.6,74292,86.8,5.5,1,14.7,30.9,60.1
502250,Alma School District,AR,-0.4377447733395812,-1.655457357134202,-1.067783299318633,Crawford County,2021m1,1,0,0,NA,NA,NA,-0.6094432,0.136159,-1.011433,-0.5584127,-0.407481,52.2,18.5,55.7,50.1,26.9,22.5,11.6,14.6,829,34.4,8.4,14.5,5.8,95.3,92.4,7.6,90.5,81.5,5.3,66704,82815,91.1,11.3,154900,89.3,392,789,53.5,60593,97.4,60593,85.5,1.3,1.3,21,34.2,49.6
502430,Arkadelphia School District,AR,-1.322190426914356,-1.670484503676655,-1.691477138481394,Clark County,2021m1,0,1,0,NA,NA,NA,-0.5398081,-0.6022342,0.0261507,-0.6500711,-0.3145235,45.1,15.2,45.0,37.8,40.9,40.9,8.9,10.2,234,31.2,5.8,17.4,9.1,97.8,95.8,4.2,87.5,77.7,4.1,66543,80668,90.7,13,143300,79.2,388,690,47.9,21469,89.1,21469,69.2,24,0.7,15.6,40.8,43.4
502580,Ashdown School District,AR,-1.263000740536407,-1.612627933921845,-1.950336769267915,Little River County,2021m1,1,0,0,NA,NA,NA,-0.2852138,0.0237775,-0.362929,-0.5969173,0.0335506,48.0,14.3,47.8,49.6,29.3,16.9,13.6,16.0,127,45.5,8.1,11.6,4.3,99.3,98.6,1.4,90.4,73.8,8,76776,84782,95.1,6.9,108200,77.9,373,683,43.9,12024,94.7,12024,72.3,18.6,0.2,20.2,35.4,42.5
502700,Bald Knob School District,AR,-1.295869887619084,-1.147579822387785,-1.05972829502777,Jackson County,2021m1,1,0,0,NA,NA,NA,-1.54631,-1.84066,-0.3059568,-0.8871489,-1.232737,39.8,14.4,42.7,34.3,33.1,27.4,20.8,19.8,307,44.6,7.5,7.8,4.1,99.3,98.2,1.8,86.2,75.9,10.9,57354,71833,91.6,16.2,85700,85.9,377,650,39.6,16784,100.6,16784,76.1,12.2,0.4,19.2,32.6,49.7
502730,Barton-Lexa School District,AR,-0.489109278814098,-2.207080756042249,-2.349974768382618,Phillips County,2021m1,1,0,0,NA,NA,NA,-3.680623,-3.377804,-0.5496134,-0.951975,-5.15451,31.3,7.2,39.4,31.5,40.5,38.4,11.4,11.3,308,31.2,12.0,9.6,5.7,98.9,98.4,1.6,82.2,76.1,13.3,50951,67381,92.4,25.9,74100,73.3,402,719,31.4,16373,86.6,16373,34.9,62.2,0.6,29.3,34.2,54.9
502790,Bauxite School District,AR,-0.5796508766808977,-0.7700810229209001,-0.9561249866730072,Grant County,2021m1,0,1,0,NA,NA,NA,-0.2084397,0.3832448,-0.7150629,-0.5248671,0.1223766,53.3,17.6,56.4,51.6,29.5,20.3,9.2,12.0,153,42.6,7.7,13.7,5.1,98.3,97.5,2.5,90.1,83.4,3.3,85655,106029,93.9,9.8,141400,87.1,381,802,49.2,18022,101.5,18022,92.4,2.6,0.4,20.2,31.9,50.7
502820,Bay School District,AR,-1.344370336723954,-1.554512910996047,-1.235963610357333,Craighead County,2021m1,1,0,0,NA,NA,NA,-1.014962,-0.6092101,-1.096892,-0.553115,-0.664147,46.5,19.8,49.4,45.8,34.7,29.8,10.6,13.3,1189,33.1,7.8,17.3,10.9,96.4,93.9,6.1,93.3,85.5,5.9,72208,96786,91.4,13.2,182600,89.9,411,870,57.9,111038,95.5,111038,75.2,16.2,1.2,15.4,31.9,57.5
502880,Beebe School District,AR,-0.0294090375278566,-0.3709093354781672,-0.4959792954630178,Prairie County,2021m1,1,0,0,NA,NA,NA,-0.5099688,-0.7311025,-0.5144519,-0.8811057,0.6191827,48.1,17.6,51.4,45.5,25.6,19.7,18.2,16.4,85,42.0,6.4,9.9,6.0,99.8,98.7,1.3,87.9,71.5,4.1,76988,86531,92.8,5.2,87200,80.7,373,645,42.7,8217,101,8217,84.8,10.5,0.2,16.3,29.7,58.4
502960,Benton School District,AR,0.7037499094837596,-0.0146523189011738,-0.1619451988306375,Garland County,2021m1,1,0,0,NA,NA,NA,-0.92532,-0.594105,-0.7878031,-0.054932,-1.202268,44.4,13.3,50.8,46.1,28.6,22.8,13.4,17.7,901,31.2,9.8,15.8,9.4,96.1,93.1,6.9,92.5,82.2,5.7,68326,86932,90.8,12.1,166600,82.5,403,913,51.7,100021,93.6,100021,84.4,7.9,0.7,21.5,38,41.6
503030,Pea Ridge School District,AR,-0.4148479051530272,-0.316190880860157,0.3430231815168607,Benton County,2021m1,1,0,0,NA,NA,NA,0.1179548,1.217304,-1.200535,0.0755021,0.0077291,58.7,26.8,58.4,56.2,30.1,24.5,8.2,10.8,3784,28.8,7.0,22.9,12.6,88.0,85.6,14.4,95.9,91.1,2.9,97168,130785,90.6,5.9,254000,91,489,1113,66.2,286528,101.2,286528,71.9,1.9,4.2,12.8,32.5,59.1
503090,Bergman School District,AR,0.3361412611472101,0.0570266471539309,-0.2690485831288001,Boone County,2021m1,1,0,0,NA,NA,NA,-0.1863836,0.3719961,-0.4138585,0.0591686,-0.6481376,53.9,18.7,56.8,53.8,26.6,18.1,10.5,15.0,435,34.9,11.1,11.0,5.6,98.8,97.6,2.4,92.2,85.9,4.4,66617,84801,92.6,9.4,158100,87.4,380,687,50.9,37662,98.2,37662,94.9,0.3,0.4,22.5,26.8,45.9
503300,Blevins School District,AR,-1.585249712306189,-2.356159463589238,-2.951188233446491,Hempstead County,2021m1,1,0,0,NA,NA,NA,-1.666216,-1.052556,-0.7744521,-0.9043926,-1.929402,44.3,13.5,51.3,42.9,28.7,28.9,13.3,13.1,56,39.1,8.0,9.6,6.2,93.5,88.5,11.5,85.9,77.5,4.4,60161,80430,88.7,14.8,104700,76.1,352,764,40.4,20037,94.5,20037,56.8,31,0.2,21.4,37.6,47.6
503320,Blytheville School District,AR,-3.33162477396587,-3.881307329191364,-3.855858801779823,Mississippi County,2021m1,1,0,0,NA,NA,NA,-2.599408,-2.126075,-0.8120308,-1.013297,-3.213248,41.3,13.3,46.0,40.1,34.5,33.7,12.7,12.9,610,39.9,7.4,9.2,5.6,98.0,96.1,3.9,87.9,81.2,9.8,62701,84908,91.7,16.5,110000,78.2,380,750,49.1,40361,96.7,40361,58.3,34.8,0.4,17.3,33.6,57.4
503450,Booneville School District,AR,-1.168269244206775,-1.615670924894486,-1.354963140383473,Logan County,2021m1,1,0,0,NA,NA,NA,-0.224881,0.2275106,-0.1611094,-0.8206989,0.0185741,52.7,18.5,53.8,53.9,28.4,19.7,11.6,13.9,136,43.7,8.0,9.1,5.3,98.5,96.1,3.9,91.3,77.3,5.5,64891,77186,93.3,9,121600,85.9,356,693,48,21247,97.7,21247,89.7,1.6,1.8,19.6,31.9,47.6
503480,Bradford School District,AR,-1.930470020816707,-2.228110073914651,-2.144322510448081,Jackson County,2021m1,1,0,0,NA,NA,NA,-1.54631,-1.84066,-0.3059568,-0.8871489,-1.232737,39.8,14.4,42.7,34.3,33.1,27.4,20.8,19.8,307,44.6,7.5,7.8,4.1,99.3,98.2,1.8,86.2,75.9,10.9,57354,71833,91.6,16.2,85700,85.9,377,650,39.6,16784,100.6,16784,76.1,12.2,0.4,19.2,32.6,49.7
503640,Brookland School District,AR,0.4744445627074025,-0.5535792505301522,-0.5144286967499241,Craighead County,2021m1,1,0,0,NA,NA,NA,-1.014962,-0.6092101,-1.096892,-0.553115,-0.664147,46.5,19.8,49.4,45.8,34.7,29.8,10.6,13.3,1189,33.1,7.8,17.3,10.9,96.4,93.9,6.1,93.3,85.5,5.9,72208,96786,91.4,13.2,182600,89.9,411,870,57.9,111038,95.5,111038,75.2,16.2,1.2,15.4,31.9,57.5
503770,Caddo Hills School District,AR,-0.4624838003882319,-0.6175647097334158,-0.3206606070510558,Montgomery County,2021m1,1,0,0,NA,NA,NA,-0.032772,0.5686544,-0.4368777,-1.063815,0.6754736,56.6,14.1,57.7,57.9,22.0,10.4,15.6,17.9,44,35.0,8.4,11.8,4.6,97.6,96.3,3.7,86.8,75.5,7.3,56905,74829,88.3,13.1,126200,65.6,318,637,36.9,8555,104.9,8555,90.9,0.7,0.8,29.7,29.9,44.7
503960,Carlisle School District,AR,-1.26919863635797,-1.971792927300247,-2.054090911101377,Lonoke County,2021m1,1,0,0,NA,NA,NA,-0.3262919,0.8971852,-1.241739,-0.437698,-0.3325986,54.3,22.4,55.1,51.9,29.0,23.0,11.1,13.8,961,37.1,10.6,13.3,6.6,97.3,95.7,4.3,92.9,86.4,4.5,83730,99376,92.5,8.5,169600,91.2,419,944,64,74292,98.6,74292,86.8,5.5,1,14.7,30.9,60.1
504050,Cave City School District,AR,-0.3348028434104036,-0.9456380886561782,-0.6659866468477933,Independence County,2021m1,1,0,0,NA,NA,NA,-1.028193,-0.4416926,-0.4926413,-0.5900005,-1.391281,52.5,21.8,52.7,52.5,30.6,19.6,11.6,13.8,378,38.6,8.2,11.6,5.5,96.6,94.8,5.2,87.9,68.1,5.2,62620,84971,89.9,14.3,111300,86.4,382,774,53.2,37910,99.9,37910,86.7,1.9,0.7,17.2,32.3,51.4
504080,Cedarville School District,AR,-0.8365915651976881,-1.275256627968627,-1.036483389177073,Crawford County,2021m1,1,0,0,NA,NA,NA,-0.6094432,0.136159,-1.011433,-0.5584127,-0.407481,52.2,18.5,55.7,50.1,26.9,22.5,11.6,14.6,829,34.4,8.4,14.5,5.8,95.3,92.4,7.6,90.5,81.5,5.3,66704,82815,91.1,11.3,154900,89.3,392,789,53.5,60593,97.4,60593,85.5,1.3,1.3,21,34.2,49.6
504110,Genoa Central School District,AR,1.064720175702941,1.290977752599438,1.41702785026386,Miller County,2021m1,1,0,0,NA,NA,NA,-1.827449,-0.6878074,-1.157489,-0.5523382,-2.736066,40.1,13.7,40.9,41.1,34.7,29.6,17.9,14.2,651,38.0,7.6,9.0,6.6,98.3,97.8,2.2,90.9,79.4,7.7,61391,78236,89.8,16.1,137700,80.2,387,831,40.9,42682,99.2,42682,68.5,25.2,0.3,22.1,40.5,48.8
504200,Charleston School District,AR,0.3854621409170624,-0.1630239623011471,-0.5137132730634963,Franklin County,2021m1,1,0,0,NA,NA,NA,-0.311635,0.9037423,-0.8393083,-0.6724114,-0.4405327,48.6,18.7,51.6,49.3,27.9,18.8,10.8,16.5,373,42.6,9.6,8.7,3.6,98.7,97.5,2.5,86.4,74.2,5.1,67408,78502,93.3,12.2,117500,86.5,341,684,45.9,17160,96.5,17160,89.6,0.6,0.8,23,37.2,50.8
504350,Clarendon School District,AR,-3.588729314072254,-4.350756658997749,-3.654235451646283,Monroe County,2021m1,0.5714286,0.42857143,0,NA,NA,NA,-1.307049,-2.88994,0.1364694,-0.6582704,-0.1224115,36.9,6.4,41.7,37.1,38.1,27.0,10.2,12.5,129,41.1,6.2,9.8,4.4,99.7,99.3,0.7,79.8,72.6,11,67631,74206,91.3,20.2,84600,73.1,377,543,33.6,6787,93.4,6787,53.9,43.5,0.3,19.9,45.5,46.7
504370,Rector School District,AR,-0.2815723181115031,-1.510442196776024,-1.432181092952164,Clay County,2021m1,0,1,0,NA,NA,NA,-0.5224124,-0.643785,-0.5932346,-0.6733577,0.3656153,46.7,12.6,55.7,46.8,23.4,19.9,14.1,15.0,302,41.1,8.5,8.7,6.7,99.3,99.3,0.7,85.6,76.2,5.6,59157,75287,92,16,85800,80.7,377,639,38.2,14537,91.8,14537,94.4,0.7,0,20.6,36.5,44.8
504380,Clarksville School District,AR,-0.9554465419739272,-1.457376524852839,-1.169276460526799,Johnson County,2021m1,1,0,0,NA,NA,NA,-0.1542889,0.9325692,-0.9544612,-0.8873836,0.2711086,51.2,17.4,52.5,51.9,29.8,21.5,12.7,15.3,348,41.0,5.0,10.3,4.8,90.7,87.5,12.5,83.3,69.0,4.8,52822,67010,91.8,15.8,119800,86.1,344,710,46.9,25925,100.2,25925,85,1.6,3,26,34.1,43.2
504410,Clinton School District,AR,-0.0853384566717326,-0.5565161220846244,-0.3436730027705108,Pope County,2021m1,0,1,0,NA,NA,NA,-0.4083855,0.1298516,-0.7902201,-0.4947992,-0.1187964,50.1,18.7,52.1,46.3,32.3,27.1,10.5,13.1,559,34.0,7.1,15.7,8.2,94.4,91.0,9.0,91.7,83.5,4.8,64117,87779,91.5,12.5,152000,87.9,363,810,57.1,63475,97.9,63475,85.5,2.5,1,19.8,34.6,47.5
504680,Cotter School District,AR,-0.3523909933151455,-0.9125713498618993,-0.334651193281351,Baxter County,2021m1,1,0,0,NA,NA,NA,0.13087,-0.0306586,-0.595076,0.2305395,0.6310606,49.5,12.7,58.9,52.9,19.9,15.0,14.7,13.7,346,35.2,11.7,12.5,5.6,97.8,96.9,3.1,91.0,81.7,5.1,59981,80462,93.5,8.1,155600,83.6,385,810,47.4,41801,95.6,41801,93.5,0.2,0.6,35.2,29.4,37.4
504740,County Line School District,AR,0.4653941159719155,-0.9334310903080728,-1.267434087134443,Franklin County,2021m1,1,0,0,NA,NA,NA,-0.311635,0.9037423,-0.8393083,-0.6724114,-0.4405327,48.6,18.7,51.6,49.3,27.9,18.8,10.8,16.5,373,42.6,9.6,8.7,3.6,98.7,97.5,2.5,86.4,74.2,5.1,67408,78502,93.3,12.2,117500,86.5,341,684,45.9,17160,96.5,17160,89.6,0.6,0.8,23,37.2,50.8
