"","school_district","household_income","household_income_all_households","household_income_all_households_with_earnings","household_income_all_households_with_earnings_with_wages_or_salary_income","household_income_all_households_with_earnings_with_self_employment_income","household_income_all_households_with_interest_dividends_or_net_rental_income","ssi_percent","household_income_all_households_with_supplemental_security_income_ssi","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap_with_cash_public_assistance","household_income_all_households_with_retirement_income","household_income_all_households_with_other_types_of_income","family_income_by_number_of_workers_in_family","family_income_by_number_of_workers_in_family_all_families","family_income_by_number_of_workers_in_family_all_families_no_workers","family_income_by_number_of_workers_in_family_all_families_1_worker","family_income_by_number_of_workers_in_family_all_families_2_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_2_workers_other","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_other","per_capita_income_by_race_and_hispanic_or_latino_origin","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_white","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_black_or_african_american","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_american_indian_and_alaska_native","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_asian","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_native_hawaiian_and_other_pacific_islander","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_some_other_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_two_or_more_races","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_hispanic_or_latino_origin_of_any_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_white_alone_not_hispanic_or_latino","state"
"19","Fairbanks North Star Borough",NA,"36,426","82.1%","81.5%","10.3%","34.9%",20.6,"2.7%","8.3%","4.2%","19.9%","22.5%",NA,"22,549","N","N","N","N","N","N",NA,"95,593",NA,"69.3%","4.1%","5.6%","3.2%","0.4%","2.1%","15.3%","8.4%","67.1%","AK"
"20","Cave Creek",NA,"29,106","68.1%","63.5%","12.2%","39.1%",42.7,"2.1%","1.4%","1.1%","36.3%","10.4%",NA,"22,031","N","N","N","N","N","N",NA,"67,281",NA,"89.5%","0.9%","0.2%","4.4%","0.0%","0.7%","4.3%","3.9%","87.3%","AZ"
"21","Kingman Unified",NA,"30,884","59.0%","56.2%","6.4%","13.5%",51.1,"6.5%","14.1%","1.7%","25.5%","11.9%",NA,"19,713","N","N","N","N","N","N",NA,"70,347",NA,"79.0%","2.7%","1.4%","1.4%","0.0%","4.7%","10.8%","21.0%","71.1%","AZ"
"22","Amphitheater",NA,"65,952","69.6%","66.4%","9.9%","25.7%",40.3,"3.4%","10.5%","2.7%","31.5%","13.7%",NA,"39,036","25.3%","33.8%","25.2%","9.3%","5.2%","1.3%",NA,"144,303",NA,"68.2%","2.6%","1.4%","6.4%","0.1%","7.5%","13.8%","24.7%","61.2%","AZ"
"23","Chandler",NA,"104,623","82.1%","79.4%","12.3%","23.6%",28.4,"2.3%","6.2%","1.5%","23.0%","11.3%",NA,"74,718","14.1%","27.2%","38.5%","8.5%","8.9%","2.8%",NA,"276,698",NA,"63.0%","4.6%","1.4%","10.0%","0.2%","5.7%","15.0%","25.1%","54.9%","AZ"
"24","Dysart",NA,"72,537","71.4%","69.0%","8.7%","19.3%",38.8,"5.5%","8.6%","3.0%","35.3%","12.6%",NA,"54,428","23.7%","27.8%","25.7%","12.4%","8.0%","2.5%",NA,"199,094",NA,"65.8%","4.0%","0.5%","1.6%","0.3%","7.4%","20.5%","28.3%","60.1%","AZ"
"25","Flagstaff",NA,"40,319","86.8%","85.1%","12.3%","18.3%",20,"2.1%","12.2%","3.1%","18.8%","13.4%",NA,"22,174","N","N","N","N","N","N",NA,"104,159",NA,"62.2%","1.5%","14.9%","2.1%","0.1%","8.0%","11.2%","16.3%","59.8%","AZ"
"26","Florence Unified",NA,"30,570","73.5%","70.9%","13.2%","14.0%",38.1,"2.6%","12.8%","3.5%","29.2%","16.6%",NA,"22,455","N","N","N","N","N","N",NA,"99,407",NA,"67.3%","2.8%","2.3%","2.3%","0.0%","5.8%","19.5%","33.9%","54.4%","AZ"
"27","Gilbert",NA,"79,721","82.8%","80.1%","11.5%","20.8%",25.6,"2.2%","6.5%","2.4%","23.7%","13.8%",NA,"58,662","13.0%","27.7%","35.8%","8.0%","11.6%","3.9%",NA,"221,887",NA,"71.4%","3.5%","0.7%","5.2%","0.1%","5.9%","13.1%","19.6%","66.6%","AZ"
"28","Higley",NA,"29,781","86.8%","84.6%","12.2%","17.7%",21.5,"1.7%","4.9%","2.3%","17.8%","12.5%",NA,"22,945","10.1%","31.4%","34.6%","10.5%","11.7%","1.6%",NA,"88,742",NA,"66.9%","3.8%","0.1%","3.2%","0.0%","7.9%","18.1%","19.1%","63.2%","AZ"
"29","Marana",NA,"43,136","76.6%","73.8%","11.7%","22.1%",38.2,"4.5%","10.4%","1.6%","31.8%","12.6%",NA,"31,761","15.9%","36.2%","26.8%","12.5%","7.3%","1.4%",NA,"108,463",NA,"69.2%","1.6%","1.7%","2.7%","0.0%","7.4%","17.4%","25.4%","63.9%","AZ"
"30","Maricopa Unified",NA,"21,257","80.8%","78.9%","10.5%","14.2%",37.2,"4.4%","11.5%","2.5%","25.2%","24.2%",NA,"17,721","N","N","N","N","N","N",NA,"66,200",NA,"53.3%","10.5%","3.5%","2.3%","0.8%","11.1%","18.5%","28.5%","47.9%","AZ"
"31","Mesa",NA,"197,046","76.2%","74.3%","7.7%","16.1%",33.3,"2.9%","11.9%","2.9%","24.8%","12.5%",NA,"120,366","16.7%","34.0%","26.3%","11.5%","7.2%","4.2%",NA,"489,100",NA,"64.4%","3.7%","2.7%","2.9%","0.2%","9.7%","16.5%","27.8%","58.6%","AZ"
"32","Paradise Valley",NA,"113,733","81.6%","78.7%","12.6%","20.6%",26.1,"2.1%","7.5%","2.9%","20.4%","8.6%",NA,"70,433","14.3%","31.8%","34.0%","10.1%","6.6%","3.2%",NA,"265,531",NA,"69.4%","3.9%","1.3%","6.2%","0.2%","5.8%","13.2%","17.0%","66.4%","AZ"
"33","Peoria Unified",NA,"98,995","77.3%","75.4%","9.2%","18.0%",34.7,"3.4%","9.7%","4.0%","28.8%","10.4%",NA,"66,912","15.5%","31.0%","31.4%","9.9%","8.5%","3.6%",NA,"256,870",NA,"67.3%","4.5%","1.7%","4.5%","0.1%","5.8%","16.1%","23.7%","61.7%","AZ"
"34","Queen Creek",NA,"21,907","89.6%","86.8%","9.6%","18.8%",22.9,"1.6%","3.0%","2.8%","20.9%","12.1%",NA,"19,791","N","N","N","N","N","N",NA,"73,836",NA,"72.7%","4.9%","0.4%","4.1%","1.8%","4.6%","11.5%","12.9%","70.8%","AZ"
"35","Scottsdale",NA,"112,456","78.6%","75.0%","12.5%","31.0%",31.8,"2.2%","4.6%","2.1%","25.5%","7.3%",NA,"59,317","18.3%","31.3%","33.0%","10.6%","5.7%","1.1%",NA,"230,719",NA,"79.5%","1.6%","0.5%","4.6%","0.2%","3.3%","10.4%","12.2%","76.8%","AZ"
"36","Deer Valley",NA,"102,470","83.4%","80.6%","13.3%","19.3%",25.9,"3.1%","9.3%","3.2%","23.5%","10.7%",NA,"72,138","11.5%","29.7%","34.1%","9.6%","12.8%","2.3%",NA,"279,264",NA,"73.2%","2.6%","0.5%","6.5%","0.1%","5.2%","12.0%","18.1%","67.2%","AZ"
"37","Sunnyside",NA,"27,542","82.9%","76.9%","12.6%","5.0%",27.8,"6.3%","31.9%","3.8%","16.0%","16.2%",NA,"19,668","11.7%","40.5%","18.5%","15.7%","6.8%","6.8%",NA,"85,161",NA,"30.3%","4.1%","7.0%","1.3%","0.0%","25.0%","32.3%","76.7%","12.8%","AZ"
"38","Tucson",NA,"204,702","75.7%","72.7%","10.8%","18.1%",31.3,"3.3%","15.6%","2.3%","25.4%","13.9%",NA,"115,223","17.0%","37.9%","23.8%","13.8%","4.8%","2.6%",NA,"484,731",NA,"53.8%","4.5%","2.8%","2.5%","0.0%","13.6%","22.8%","43.7%","43.9%","AZ"
"39","Vail",NA,"24,916","76.8%","74.2%","10.5%","21.8%",33,"4.1%","9.3%","1.9%","33.8%","16.2%",NA,"20,214","N","N","N","N","N","N",NA,"72,972",NA,"67.8%","4.1%","0.5%","1.6%","0.0%","7.6%","18.5%","27.1%","61.5%","AZ"
"40","School District",NA,"38,764","32.2%","31.3%","2.8%","38.8%",82.3,"5.9%","3.6%","0.6%","60.6%","12.8%",NA,"20,518","N","N","N","N","N","N",NA,"67,447",NA,"83.4%","1.6%","8.3%","0.9%","0.2%","0.9%","4.8%","4.6%","82.8%","AZ"
"41","Fayetteville",NA,"41,723","83.7%","80.9%","10.1%","16.5%",20.9,"2.9%","7.0%","2.8%","16.0%","11.7%",NA,"22,896","N","N","N","N","N","N",NA,"101,676",NA,"77.6%","5.1%","0.5%","2.7%","0.1%","1.1%","13.0%","5.0%","76.3%","AR"
"42","Little Rock",NA,"79,299","74.4%","72.7%","7.9%","12.2%",31.1,"4.4%","13.0%","1.5%","21.6%","7.8%",NA,"45,541","14.0%","38.3%","30.2%","10.7%","4.6%","2.0%",NA,"175,685",NA,"43.8%","44.1%","0.2%","2.0%","0.0%","4.6%","5.2%","8.4%","41.3%","AR"
"43","Pulaski County Special",NA,"51,027","81.5%","79.7%","9.2%","19.6%",30.7,"7.0%","7.8%","2.6%","23.0%","13.0%",NA,"36,242","15.2%","36.1%","38.4%","5.3%","4.5%","0.5%",NA,"127,839",NA,"63.6%","27.1%","0.2%","3.0%","0.0%","1.2%","4.9%","2.9%","62.9%","AR"
"44","Springdale",NA,"37,069","80.0%","75.6%","14.7%","17.0%",26.1,"4.1%","6.6%","2.6%","18.2%","8.1%",NA,"25,213","14.2%","27.2%","29.7%","12.6%","12.9%","3.5%",NA,"107,927",NA,"44.8%","2.2%","1.9%","2.8%","6.1%","7.3%","34.8%","36.1%","39.7%","AR"
"45","Rocklin Unified",NA,"24,409","80.9%","78.1%","14.8%","23.8%",27.3,"3.9%","6.5%","2.2%","21.0%","15.4%",NA,"18,162","11.8%","29.9%","33.6%","9.8%","13.9%","1.0%",NA,"70,348",NA,"65.5%","1.5%","0.6%","12.0%","0.1%","3.9%","16.3%","13.9%","62.7%","CA"
"46","Hesperia Unified",NA,"33,466","78.1%","72.7%","14.8%","7.8%",26.4,"7.1%","14.4%","4.4%","23.3%","16.8%",NA,"26,107","17.0%","33.1%","18.6%","15.3%","10.0%","5.9%",NA,"113,065",NA,"53.6%","1.7%","2.3%","2.5%","0.0%","18.9%","21.0%","60.4%","33.0%","CA"
"47","Upland Unified",NA,"25,434","83.9%","82.1%","8.3%","17.6%",33.9,"6.6%","13.4%","7.1%","26.8%","14.5%",NA,"19,659","12.4%","33.8%","23.1%","13.1%","10.1%","7.5%",NA,"77,450",NA,"41.3%","4.6%","1.1%","10.4%","0.3%","18.6%","23.7%","45.3%","35.1%","CA"
"48","Apple Valley Unified",NA,"28,355","70.8%","67.6%","8.5%","14.2%",38.1,"7.8%","15.4%","3.5%","30.6%","16.1%",NA,"20,035","22.6%","38.9%","19.0%","8.3%","6.8%","4.3%",NA,"87,171",NA,"57.1%","5.2%","1.1%","3.0%","0.5%","9.5%","23.5%","41.9%","44.5%","CA"
"49","Dublin Unified",NA,"23,688","92.1%","90.3%","8.6%","32.7%",15.9,"2.8%","9.6%","4.4%","17.8%","6.8%",NA,"N","N","N","N","N","N","N",NA,"71,680",NA,"27.3%","2.1%","0.6%","56.0%","0.5%","3.0%","10.5%","9.7%","24.7%","CA"
"50","Pleasanton Unified",NA,"29,465","79.8%","79.0%","10.9%","40.5%",24,"2.8%","7.4%","4.1%","22.5%","8.9%",NA,"22,134","N","N","N","N","N","N",NA,"78,700",NA,"42.4%","2.7%","0.4%","39.9%","1.4%","6.1%","7.0%","14.3%","38.9%","CA"
"51","Lake Elsinore Unified",NA,"43,152","84.0%","81.7%","9.7%","11.2%",28.4,"8.9%","11.9%","3.1%","25.4%","17.9%",NA,"35,443","13.6%","34.8%","27.8%","10.6%","9.0%","4.2%",NA,"144,016",NA,"46.2%","7.2%","0.7%","4.5%","0.1%","21.6%","19.8%","43.8%","40.3%","CA"
"52","Temecula Valley Unified",NA,"50,151","84.3%","80.9%","11.6%","17.6%",27.3,"4.0%","12.8%","5.3%","24.9%","23.9%",NA,"41,810","11.9%","35.3%","27.7%","11.5%","9.5%","4.0%",NA,"168,289",NA,"49.3%","4.1%","0.5%","11.5%","0.1%","12.6%","21.9%","30.9%","44.6%","CA"
"53","Murrieta Valley Unified",NA,"35,765","81.5%","78.6%","11.9%","17.6%",30.1,"3.1%","6.4%","2.6%","26.1%","25.1%",NA,"29,414","11.0%","37.8%","26.8%","12.8%","8.5%","3.1%",NA,"119,780",NA,"53.0%","6.5%","0.0%","9.6%","0.3%","13.3%","17.3%","27.0%","50.0%","CA"
"54","Redondo Beach Unified",NA,"26,986","82.0%","78.0%","15.6%","32.8%",25.9,"3.2%","11.2%","6.8%","26.5%","9.1%",NA,"17,756","N","N","N","N","N","N",NA,"69,779",NA,"56.7%","2.2%","0.4%","17.0%","1.4%","4.2%","18.0%","15.7%","53.7%","CA"
"55","Natomas Unified",NA,"35,005","85.0%","84.0%","7.4%","13.6%",23.6,"4.7%","10.0%","4.2%","23.2%","13.8%",NA,"21,135","9.9%","30.2%","36.9%","10.9%","6.3%","5.9%",NA,"86,280",NA,"35.1%","15.8%","0.9%","21.6%","0.3%","9.7%","16.6%","25.0%","30.5%","CA"
"56","Tracy Unified",NA,"24,986","87.2%","83.7%","12.3%","19.8%",25.9,"4.3%","10.2%","3.0%","17.6%","28.6%",NA,"20,404","7.1%","47.4%","26.3%","10.7%","6.8%","1.7%",NA,"82,755",NA,"31.8%","5.8%","1.1%","17.1%","0.4%","22.4%","21.4%","46.1%","27.5%","CA"
"57","Alhambra Unified",NA,"39,632","78.3%","74.1%","12.8%","17.5%",29.1,"9.3%","15.2%","6.5%","19.5%","20.2%",NA,"28,129","15.3%","34.4%","22.9%","15.6%","4.5%","7.2%",NA,"111,853",NA,"11.9%","2.2%","0.6%","54.2%","0.5%","16.2%","14.4%","32.4%","8.0%","CA"
"58","Turlock Unified",NA,"25,790","77.5%","76.0%","7.2%","13.7%",28.7,"5.7%","17.1%","2.0%","21.4%","18.7%",NA,"19,119","N","N","N","N","N","N",NA,"76,948",NA,"40.2%","2.5%","0.2%","5.4%","0.4%","37.7%","13.7%","50.7%","36.3%","CA"
"59","Twin Rivers Unified",NA,"58,616","78.9%","76.3%","9.1%","11.2%",25.7,"11.6%","26.3%","10.0%","19.3%","16.8%",NA,"40,502","15.0%","35.8%","21.0%","12.1%","8.2%","7.9%",NA,"178,543",NA,"38.2%","13.4%","1.1%","11.1%","0.2%","20.3%","15.8%","35.7%","34.1%","CA"
"60","Santa Barbara Unified",NA,"32,722","80.6%","75.7%","18.2%","29.9%",27,"3.3%","11.3%","4.4%","19.5%","14.3%",NA,"17,431","N","N","N","N","N","N",NA,"81,843",NA,"51.5%","2.3%","1.6%","2.2%","0.3%","19.7%","22.4%","42.7%","47.4%","CA"
"61","ABC Unified",NA,"31,632","82.0%","80.6%","8.1%","19.9%",36,"5.6%","16.3%","5.9%","24.5%","17.2%",NA,"24,914","13.8%","32.5%","23.1%","11.7%","9.6%","9.3%",NA,"104,027",NA,"16.6%","9.5%","1.2%","38.8%","3.4%","16.8%","13.8%","33.9%","12.2%","CA"
"62","Alameda City Unified",NA,"30,281","80.6%","78.0%","12.5%","28.9%",26.1,"3.6%","11.6%","4.6%","21.6%","10.7%",NA,"18,571","12.8%","28.7%","44.2%","7.5%","5.7%","1.1%",NA,"76,352",NA,"41.9%","5.3%","0.6%","31.2%","1.2%","4.5%","15.3%","13.6%","39.7%","CA"
"63","Alvord Unified",NA,"30,772","88.7%","86.5%","12.5%","7.6%",24.2,"4.6%","12.8%","4.2%","15.3%","13.8%",NA,"24,861","6.2%","29.4%","21.8%","18.9%","10.9%","12.8%",NA,"114,991",NA,"18.8%","6.6%","1.4%","11.8%","0.5%","42.7%","18.1%","62.5%","16.1%","CA"
"64","Antioch Unified",NA,"38,887","80.4%","77.9%","11.3%","18.9%",29.2,"6.5%","20.4%","7.8%","28.5%","18.3%",NA,"30,170","13.0%","34.9%","24.2%","10.4%","9.8%","7.7%",NA,"120,664",NA,"27.7%","20.3%","2.3%","12.4%","1.4%","20.6%","15.3%","35.7%","23.7%","CA"
"65","Azusa Unified",NA,"18,322","87.9%","86.6%","10.0%","10.5%",26,"9.1%","14.6%","3.7%","19.4%","19.9%",NA,"14,021","10.6%","31.0%","22.9%","16.6%","11.7%","7.3%",NA,"66,200",NA,"19.8%","2.4%","1.3%","13.9%","0.1%","34.1%","28.5%","65.7%","15.1%","CA"
"66","Baldwin Park Unified",NA,"19,114","85.9%","82.4%","12.9%","14.2%",30.3,"7.9%","14.3%","5.4%","16.2%","20.8%",NA,"15,728","12.1%","30.2%","10.8%","18.7%","16.1%","12.1%",NA,"69,896",NA,"8.3%","0.8%","6.0%","18.9%","0.2%","27.7%","38.0%","75.2%","3.1%","CA"
"67","Beaumont Unified",NA,"22,373","70.8%","68.5%","13.4%","16.6%",36.7,"6.3%","13.5%","3.0%","27.0%","17.8%",NA,"16,822","N","N","N","N","N","N",NA,"67,652",NA,"53.2%","5.6%","1.1%","5.1%","0.4%","16.8%","17.9%","39.7%","46.0%","CA"
"68","Bellflower Unified",NA,"26,303","83.9%","80.2%","13.7%","12.8%",26.7,"8.3%","16.9%","3.7%","20.4%","19.1%",NA,"19,472","9.2%","36.8%","25.5%","11.7%","10.3%","6.5%",NA,"82,609",NA,"24.5%","10.6%","1.7%","12.0%","0.6%","29.3%","21.4%","58.7%","16.5%","CA"
"69","Berkeley Unified",NA,"43,893","77.9%","73.7%","16.6%","35.3%",23.7,"2.8%","9.7%","2.6%","21.9%","12.7%",NA,"18,877","16.2%","28.6%","37.3%","10.5%","6.9%","0.5%",NA,"117,147",NA,"54.3%","8.0%","1.1%","18.1%","0.2%","7.5%","10.8%","12.8%","51.4%","CA"
"70","Burbank Unified",NA,"44,471","76.3%","72.4%","16.4%","20.2%",24.8,"8.8%","15.4%","8.4%","17.8%","12.6%",NA,"25,087","16.5%","27.3%","32.1%","11.7%","8.8%","3.6%",NA,"105,407",NA,"61.6%","2.4%","0.4%","14.7%","0.0%","8.6%","12.4%","21.3%","56.8%","CA"
"71","Capistrano Unified",NA,"135,711","81.9%","78.5%","15.2%","28.2%",28.4,"2.1%","5.9%","3.6%","24.7%","14.3%",NA,"97,955","12.3%","29.5%","34.3%","10.7%","10.1%","3.1%",NA,"361,168",NA,"67.4%","1.4%","0.4%","9.1%","0.0%","8.4%","13.3%","19.6%","64.9%","CA"
"72","Carlsbad Unified",NA,"33,942","71.7%","67.0%","13.9%","36.3%",32.1,"3.8%","7.3%","4.9%","32.8%","15.9%",NA,"20,250","N","N","N","N","N","N",NA,"80,543",NA,"68.4%","1.2%","1.4%","7.9%","0.5%","4.9%","15.7%","18.7%","66.3%","CA"
"73","Central Unified",NA,"24,931","82.8%","80.2%","16.3%","9.5%",24.1,"7.2%","21.1%","7.1%","16.3%","17.8%",NA,"18,750","12.2%","26.7%","30.8%","9.8%","12.6%","7.8%",NA,"83,766",NA,"27.2%","6.2%","0.6%","21.1%","0.1%","10.5%","34.3%","51.7%","18.1%","CA"
"74","Chico Unified",NA,"47,087","77.4%","73.4%","13.3%","19.4%",27.4,"5.7%","14.3%","5.3%","23.1%","17.6%",NA,"26,905","20.3%","35.0%","30.4%","9.8%","3.5%","1.0%",NA,"118,449",NA,"71.9%","1.4%","1.0%","5.5%","0.4%","6.9%","12.9%","18.8%","68.4%","CA"
